NUM_EP,NOM_EP,CHEMIN,DOUBLE,NB_VUES,DERNIERE_VUE,PATH
01,"Cartman Gets an Anal Probe",,False,0,,
02,"Weight Gain 4000",,False,0,,
03,"Volcano",,False,0,,
04,"Big Gay Al's Big Gay Boat Ride",,False,0,,
05,"An Elephant Makes Love to a Pig",,False,0,,
06,"Death",,False,0,,
07,"Pinkeye",,False,0,,
08,"Starvin' Marvin",,False,0,,
09,"Mr. Hankey, the Christmas Poo",,False,0,,
10,"Damien",,False,0,,
11,"Tom's Rhinoplasty",,False,0,,
12,"Mecha-Streisand",,False,0,,
13,"Cartman's Mom Is a Dirty Slut",,False,0,,
