NUM_EP,NOM_EP,CHEMIN
01,"Terrance and Phillip in Not Without My Anus"
02,"Cartman's Mom Is Still a Dirty Slut"
03,"Ike's Wee Wee"
04,"Chickenlover"
05,"Conjoined Fetus Lady"
06,"The Mexican Staring Frog of Southern Sri Lanka"
07,"City on the Edge of Forever"
08,"Summer Sucks"
09,"Chef's Chocolate Salty Balls"
10,"Chickenpox"
11,"Roger Ebert Should Lay Off the Fatty Foods"
12,"Clubhouses"
13,"Cow Days"
14,"Chef Aid"
15,"Spookyfish"
16,"Merry Christmas, Charlie Manson!"
17,"Gnomes"
18,"Prehistoric Ice Man"
