NUM_EP;NOM_EP;CHEMIN;DOUBLE;NB_VUES;DERNIERE_VUEs
01;"The Tooth Fairy's Tats";;False;0;
02;"Cartman's Silly Hate Crime";;False;0;
03;"Timmy";;False;0;
04;"Quintuplets";;False;0;
05;"Cartman Joins NAMBLA";;False;0;
06;"Cherokee Hair Tampons";;False;0;
07;"Chef Goes Nanners";;False;0;
08;"Something You Can Do with Your Finger";;False;0;
09;"Do the Handicapped Go to Hell?";;True;0;
10;"Probably";;True;0;
11;"4th Grade";;False;0;
12;"Trapper Keeper";;False;0;
13;"Helen Keller! The Musical";;False;0;
14;"Pip";;False;0;
15;"Fat Camp";;False;0;
16;"The Wacky Molestation Adventure";;False;0;
17;"A Very Crappy Christmas";;False;0;
