NUM_EP,NOM_EP,CHEMIN,DOUBLE,NB_VUES,DERNIERE_VUE
01,"Cancelled",,False,0,
02,"Krazy Kripples",,False,0,
03,"Toilet Paper",,False,0,
04,"I'm a Little Bit Country",,False,0,
05,"Fat Butt and Pancake Head",,False,0,
06,"Lil' Crime Stoppers",,False,0,
07,"Red Man's Greed",,False,0,
08,"South Park Is Gay!",,False,0,
09,"Christian Rock Hard",,False,0,
10,"Grey Dawn",,False,0,
11,"Casa Bonita",,False,0,
12,"All About Mormons",,False,0,
13,"Butt Out",,False,0,
14,"Raisins",,False,0,
15,"It's Christmas in Canada",,False,0,
